Series Name,Series Code,Country Name,Country Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Indonesia,IDN,111.5000842,117.0371676,123.4077049,128.319631,131.4492494,137.0919426,142.3265565,144.6016302,143.9703311,152.6305415
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Papua New Guinea,PNG,96.53727048,100,105.4373927,104.1393335,106.7614015,114.981533,126.2469702,127.5904183,129.6734865,146.2058071
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Timor-Leste,TLS,80.55672133,93.9643479,93.28012504,99.99999312,100.1353943,99.85848604,98.54643045,103.4917857,83.47525474,133.0115776
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,Fiji,FJI,85.77833023,88.88461794,100,102.530899,105.2308716,107.0181731,108.5439507,110.9790997,109.6294869,105.8510212
GDP deflator: linked series (base year varies by country),NY.GDP.DEFL.ZS.AD,Indonesia,IDN,111.5000842,117.0371676,123.4077049,128.319631,131.4492494,137.0919426,142.3265565,144.6016302,143.9703311,152.6305415
GDP deflator: linked series (base year varies by country),NY.GDP.DEFL.ZS.AD,Papua New Guinea,PNG,96.53727048,100,105.4373927,104.1393335,106.7614015,114.981533,126.2469702,127.5904183,129.6734865,146.2058071
GDP deflator: linked series (base year varies by country),NY.GDP.DEFL.ZS.AD,Timor-Leste,TLS,80.55672133,93.9643479,93.28012504,99.99999312,100.1353943,99.85848604,98.54643045,103.4917857,83.47525474,133.0115776
GDP deflator: linked series (base year varies by country),NY.GDP.DEFL.ZS.AD,Fiji,FJI,85.77833023,88.88461794,100,102.530899,105.2308716,107.0181731,108.5439507,110.9790997,109.6294869,105.8510212
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Indonesia,IDN,9386.629167,10461.24,11865.2113,13389.41294,13308.3268,13380.83388,14236.93877,14147.67136,14582.20347,14308.1439
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Papua New Guinea,PNG,2.083648339,2.24451,2.461385,2.768411667,3.133029302,3.188788383,3.293463081,3.387537681,3.459974386,3.50877193
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Timor-Leste,TLS,1,1,1,1,1,1,1,1,1,1
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Fiji,FJI,1.789892817,1.841476617,1.887345358,2.097629816,2.094695939,2.066875304,2.087379789,2.160393115,2.168804924,2.070633333
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Indonesia,IDN,4.279499996,6.412513302,6.394925408,6.363121131,3.525805157,3.80879807,3.198346416,3.03058665,1.920968006,1.560129905
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Papua New Guinea,PNG,4.537205082,4.96031746,5.222117202,5.995957781,6.673728814,5.42204568,4.374489215,3.928672909,4.871673986,4.48359014
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Timor-Leste,TLS,11.80030967,10.98723442,0.848838206,0.646148614,-1.469842879,0.52297668,2.29424307,0.95881274,,
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Fiji,FJI,3.423375234,2.913541936,0.519306475,1.374885426,3.863225382,3.347578348,4.081476376,1.773101825,-2.595243259,0.155855722
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Indonesia,IDN,3.753878753,4.965990291,5.443174549,3.98024266,2.438924087,4.292678122,3.818323569,1.5984885,-0.436578123,6.015274347
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Papua New Guinea,PNG,-0.574719487,3.586935389,5.437392654,-1.231118417,2.517845936,7.699535038,9.797605661,1.064142837,1.632621229,12.74919107
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Timor-Leste,TLS,6.159918791,16.64370936,-0.728172839,7.203965558,0.135401207,-0.276533862,-1.313914961,5.018299689,-19.34117843,59.34252377
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Fiji,FJI,3.576513521,3.621296542,12.50540568,2.530898974,2.633325827,1.698457348,1.425718272,2.24346817,-1.216096424,-3.446577853
