"","ISO3_code","severity","age_group","QALYs"
"1","FJI","critical","0 to 4",4.8843178778215
"2","FJI","critical","5 to 9",4.64182878739216
"3","FJI","critical","10 to 17",4.32769315698761
"4","FJI","critical","18 to 29",3.84062385104471
"5","FJI","critical","30 to 44",3.19140167753781
"6","FJI","critical","45 to 59",2.46747086630192
"7","FJI","critical","60 to 69",1.86861668426959
"8","FJI","critical","70 to 100",1.29312210731314
"9","FJI","mild","0 to 4",0.0106195218709006
"10","FJI","mild","5 to 9",0.0104203521867697
"11","FJI","mild","10 to 17",0.0101623352418789
"12","FJI","mild","18 to 29",0.00976227831707984
"13","FJI","mild","30 to 44",0.009229036285452
"14","FJI","mild","45 to 59",0.00863443192304059
"15","FJI","mild","60 to 69",0.00814255990494422
"16","FJI","mild","70 to 100",0.00766987442079108
"17","FJI","severe","0 to 4",0.0211792828063509
"18","FJI","severe","5 to 9",0.0208805282801546
"19","FJI","severe","10 to 17",0.0204935028628184
"20","FJI","severe","18 to 29",0.0198934174756198
"21","FJI","severe","30 to 44",0.019093554428178
"22","FJI","severe","45 to 59",0.0182016478845609
"23","FJI","severe","60 to 69",0.0174638398574163
"24","FJI","severe","70 to 100",0.0167548116311866
"25","IDN","critical","0 to 4",4.88440796618567
"26","IDN","critical","5 to 9",4.64007927135046
"27","IDN","critical","10 to 17",4.32755034281622
"28","IDN","critical","18 to 29",3.84024292318951
"29","IDN","critical","30 to 44",3.18260829663404
"30","IDN","critical","45 to 59",2.47418717670995
"31","IDN","critical","60 to 69",1.86867663723498
"32","IDN","critical","70 to 100",1.26942779190646
"33","IDN","mild","0 to 4",0.0106195958654502
"34","IDN","mild","5 to 9",0.0104189152126082
"35","IDN","mild","10 to 17",0.0101622179407115
"36","IDN","mild","18 to 29",0.00976196543999138
"37","IDN","mild","30 to 44",0.00922181379600332
"38","IDN","mild","45 to 59",0.00863994839976177
"39","IDN","mild","60 to 69",0.00814260914762627
"40","IDN","mild","70 to 100",0.00765041297076506
"41","IDN","severe","0 to 4",0.0211793937981754
"42","IDN","severe","5 to 9",0.0208783728189123
"43","IDN","severe","10 to 17",0.0204933269110672
"44","IDN","severe","18 to 29",0.0198929481599871
"45","IDN","severe","30 to 44",0.019082720694005
"46","IDN","severe","45 to 59",0.0182099225996427
"47","IDN","severe","60 to 69",0.0174639137214394
"48","IDN","severe","70 to 100",0.0167256194561476
