strain,date,percentage
omicron,25/10/2021,0
omicron,1/11/2021,0.2
omicron,8/11/2021,1.7
omicron,15/11/2021,9.1
omicron,22/11/2021,23.7
omicron,29/11/2021,38.9
omicron,6/12/2021,51.3
omicron,13/12/2021,61.2
omicron,20/12/2021,69.6
omicron,27/12/2021,74.9
omicron,3/01/2022,80.2
omicron,10/01/2022,83.8
omicron,17/01/2022,88
omicron,24/01/2022,91
omicron,31/01/2022,93.3
omicron,7/02/2022,94.6
omicron,14/02/2022,95.4
omicron,21/02/2022,96.1
omicron,28/02/2022,96.2
omicron,7/03/2022,96.8
omicron,14/03/2022,97.3
omicron,21/03/2022,98
omicron,28/03/2022,98.3
omicron,4/04/2022,98.6
omicron,11/04/2022,98.9
omicron,18/04/2022,99.2
omicron,25/04/2022,99.3
omicron,2/05/2022,99.4
