WHO_REGION,UNICEF_REGION,WBINCOME_LONG_STATUS,WHO_LEGAL_STATUS_TITLE,DEVELOPMENT_STATUS,COVAX_STATUS,COUNTRYNAME,ISO_3_CODE,DATE,UNPOP,VACCINE_NAME,NUMBER_TARGET,N_VACC_LAST_DOSE,N_VACC_DOSE1,PARTIALLY_VACCINATED,NOT_VACCINATED,PERSONS_VACCINATED_1PLUS_DOSE_PER100,TOTAL_VACCINATIONS_PER100
,,,,,,"China, Province of Taiwan",TWN,2022-11,23893394,Unknown Vaccine,,,,,,,
,,,,,,"China, Province of Taiwan",TWN,2022-11,23893394,Medigen - MVC-COV1901,,952456,1009638,57182,,4.225594739700856,3.986273360745652
,,,,,,"China, Province of Taiwan",TWN,2022-11,23893394,Moderna - Spikevax,,4813581,4774962,-38619,,19.98444423592563,20.146074684910815
,,,,,,"China, Province of Taiwan",TWN,2022-11,23893394,Pfizer BioNTech - Comirnaty,,6206146,7274916,1068770,,30.447394790375952,25.974317420120393
,,,,,,"China, Province of Taiwan",TWN,2022-11,23893394,AstraZeneca - Vaxzevria,,7161549,8071727,910178,,33.78225378947838,29.972924733924366
,,,Territory or Area,,,Pitcairn,PCN,2022-11,,Moderna - Spikevax,,0,9,9,,,
,,,Territory or Area,,,Pitcairn,PCN,2022-11,,AstraZeneca - Vaxzevria,,37,46,9,,,
AFR,ESARO,High income,Member State,Developing,No,Seychelles,SYC,2022-09,107118,Beijing CNBG - BBIBP-CorV,,,,,,,
AFR,ESARO,High income,Member State,Developing,No,Seychelles,SYC,2022-09,107118,Gamaleya - Gam-Covid-Vac,,,,,,,
AFR,ESARO,High income,Member State,Developing,No,Seychelles,SYC,2022-09,107118,Pfizer BioNTech - Comirnaty,,,,,,,
AFR,ESARO,High income,Member State,Developing,No,Seychelles,SYC,2022-09,107118,SII - Covishield,,,,,,,
AFR,ESARO,Low income,Member State,Least developed,AMC,Ethiopia,ETH,2022-07,123379924,AstraZeneca - Vaxzevria,,,,,,,
AFR,ESARO,Low income,Member State,Least developed,AMC,Ethiopia,ETH,2022-07,123379924,Beijing CNBG - BBIBP-CorV,,,,,,,
AFR,ESARO,Low income,Member State,Least developed,AMC,Ethiopia,ETH,2022-07,123379924,Janssen - Ad26.COV 2-S,,,,,,,
AFR,ESARO,Low income,Member State,Least developed,AMC,Ethiopia,ETH,2022-07,123379924,Pfizer BioNTech - Comirnaty,,,,,,,
AFR,ESARO,Low income,Member State,Least developed,AMC,Madagascar,MDG,2022-07,29611714,AstraZeneca - Vaxzevria,,,,,,,
AFR,ESARO,Low income,Member State,Least developed,AMC,Madagascar,MDG,2022-07,29611714,Beijing Minhai - KCONVAC,,,,,,,
AFR,ESARO,Low income,Member State,Least developed,AMC,Madagascar,MDG,2022-07,29611714,Janssen - Ad26.COV 2-S,,,,,,,
AFR,ESARO,Low income,Member State,Least developed,AMC,Madagascar,MDG,2022-07,29611714,Pfizer BioNTech - Comirnaty,,,,,,,
AFR,ESARO,Low income,Member State,Least developed,AMC,Madagascar,MDG,2022-07,29611714,SII - Covishield,,,,,,,
AFR,ESARO,Low income,Member State,Least developed,AMC,Mozambique,MOZ,2021-06,32077072,Beijing CNBG - BBIBP-CorV,,97028,153321,56293,,0.477976917593975,0.302483967364602
AFR,ESARO,Low income,Member State,Least developed,AMC,Mozambique,MOZ,2021-06,32077072,SII - Covishield,,223514,240913,17399,,0.751044234960099,0.696802999974561
AFR,ESARO,Low income,Member State,Least developed,AMC,Zambia,ZMB,2022-06,20017675,AstraZeneca - Vaxzevria,,,,,,,
AFR,ESARO,Low income,Member State,Least developed,AMC,Zambia,ZMB,2022-06,20017675,Beijing CNBG - BBIBP-CorV,,,,,,,
AFR,ESARO,Low income,Member State,Least developed,AMC,Zambia,ZMB,2022-06,20017675,Janssen - Ad26.COV 2-S,,,,,,,
AFR,ESARO,Low income,Member State,Least developed,AMC,Zambia,ZMB,2022-06,20017675,Moderna - Spikevax,,,,,,,
AFR,ESARO,Low income,Member State,Least developed,AMC,Zambia,ZMB,2022-06,20017675,Pfizer BioNTech - Comirnaty,,,,,,,
AFR,ESARO,Lower middle income,Member State,Developing,AMC,Eswatini,SWZ,2022-08,1201670,AstraZeneca - Vaxzevria,,,,,,,
AFR,ESARO,Lower middle income,Member State,Developing,AMC,Eswatini,SWZ,2022-08,1201670,Janssen - Ad26.COV 2-S,,,,,,,
AFR,ESARO,Lower middle income,Member State,Developing,AMC,Eswatini,SWZ,2022-08,1201670,Pfizer BioNTech - Comirnaty,,,,,,,
AFR,ESARO,Lower middle income,Member State,Developing,AMC,Kenya,KEN,2021-04,53005614,AstraZeneca - Vaxzevria,,,884858,884858,,1.669366569359993,
AFR,ESARO,Lower middle income,Member State,Least developed,AMC,Angola,AGO,2022-03,35588987,Moderna - Spikevax,,147492,896632,749140,,2.519408602442098,0.414431576824595
AFR,ESARO,Lower middle income,Member State,Least developed,AMC,Angola,AGO,2022-03,35588987,Unknown Vaccine,,222572,355520,132948,,0.998960717819813,0.62539571581512
AFR,ESARO,Lower middle income,Member State,Least developed,AMC,Angola,AGO,2022-03,35588987,Janssen - Ad26.COV 2-S,,403311,403311,0,,1.133246641720935,1.133246641720935
AFR,ESARO,Lower middle income,Member State,Least developed,AMC,Angola,AGO,2022-03,35588987,AstraZeneca - Vaxzevria,,1618491,3155371,1536880,,8.866144462049453,4.547729891834235
AFR,ESARO,Lower middle income,Member State,Least developed,AMC,Angola,AGO,2022-03,35588987,Beijing CNBG - BBIBP-CorV,,1753967,3286178,1532211,,9.233693558066152,4.928398214874731
AFR,ESARO,Lower middle income,Member State,Least developed,AMC,Angola,AGO,2022-03,35588987,Pfizer BioNTech - Comirnaty,,1981304,3702825,1721521,,10.404412466137348,5.567182904082097
AFR,ESARO,Lower middle income,Member State,Least developed,AMC,Comoros,COM,2021-04,821625,Beijing CNBG - BBIBP-CorV,,,43140,43140,,5.250570515746235,
AFR,ESARO,Lower middle income,Member State,Least developed,AMC,Lesotho,LSO,2022-04,2305825,AstraZeneca - Vaxzevria,,,,,,,
AFR,ESARO,Lower middle income,Member State,Least developed,AMC,Lesotho,LSO,2022-04,2305825,Janssen - Ad26.COV 2-S,,,,,,,
AFR,ESARO,Lower middle income,Member State,Least developed,AMC,Lesotho,LSO,2022-04,2305825,Moderna - Spikevax,,,,,,,
AFR,ESARO,Lower middle income,Member State,Least developed,AMC,Lesotho,LSO,2022-04,2305825,Pfizer BioNTech - Comirnaty,,,,,,,
AFR,ESARO,Lower middle income,Member State,Least developed,AMC,United Republic of Tanzania,TZA,2022-04,65497748,Beijing CNBG - BBIBP-CorV,,,,,,,
AFR,ESARO,Lower middle income,Member State,Least developed,AMC,United Republic of Tanzania,TZA,2022-04,65497748,Janssen - Ad26.COV 2-S,,,,,,,
AFR,ESARO,Lower middle income,Member State,Least developed,AMC,United Republic of Tanzania,TZA,2022-04,65497748,Moderna - Spikevax,,,,,,,
AFR,ESARO,Lower middle income,Member State,Least developed,AMC,United Republic of Tanzania,TZA,2022-04,65497748,Pfizer BioNTech - Comirnaty,,,,,,,
AFR,ESARO,Upper middle income,Member State,Developing,Self-financing,Botswana,BWA,2022-03,2630296,Unknown Vaccine,,1292541,1454775,162234,,55.30841395797279,49.14051498386494
AFR,MENA,Lower middle income,Member State,Developing,AMC,Algeria,DZA,2022-03,44903225,Unknown Vaccine,,191251,208147,16896,,0.463545769819428,0.425918182936749
AFR,MENA,Lower middle income,Member State,Developing,AMC,Algeria,DZA,2022-03,44903225,Beijing CNBG - BBIBP-CorV,,256873,297939,41066,,0.663513589502758,0.572059133837269
AFR,MENA,Lower middle income,Member State,Developing,AMC,Algeria,DZA,2022-03,44903225,Janssen - Ad26.COV 2-S,,370474,370474,0,,0.825049871139545,0.825049871139545
AFR,MENA,Lower middle income,Member State,Developing,AMC,Algeria,DZA,2022-03,44903225,AstraZeneca - Vaxzevria,,675048,770278,95230,,1.715417990578628,1.503339682172049
AFR,MENA,Lower middle income,Member State,Developing,AMC,Algeria,DZA,2022-03,44903225,Sinovac - CoronaVac,,4653532,5834439,1180907,,12.993362948875053,10.363469438999092
AFR,WCARO,Low income,Member State,Least developed,AMC,Guinea,GIN,2021-09,13531906,Janssen - Ad26.COV 2-S,,,173060,173060,,1.278903356260382,
AFR,WCARO,Low income,Member State,Least developed,AMC,Niger,NER,2022-01,26207977,AstraZeneca - Vaxzevria,,,,,,,
AFR,WCARO,Low income,Member State,Least developed,AMC,Niger,NER,2022-01,26207977,Janssen - Ad26.COV 2-S,,,,,,,
AFR,WCARO,Low income,Member State,Least developed,AMC,Niger,NER,2022-01,26207977,Pfizer BioNTech - Comirnaty,,,,,,,
AFR,WCARO,Low income,Member State,Least developed,AMC,Niger,NER,2022-01,26207977,Wuhan CNBG - Inactivated,,,,,,,
AFR,WCARO,Lower middle income,Member State,Developing,AMC,Côte d'Ivoire,CIV,2021-11,27478249,Janssen - Ad26.COV 2-S,,135672,,,,,0.493743251253018
AFR,WCARO,Lower middle income,Member State,Developing,AMC,Côte d'Ivoire,CIV,2021-11,27478249,Beijing CNBG - BBIBP-CorV,,201888,654407,452519,,2.38154549076253,0.734719304712611
AFR,WCARO,Lower middle income,Member State,Developing,AMC,Côte d'Ivoire,CIV,2021-11,27478249,Pfizer BioNTech - Comirnaty,,469935,910058,440123,,3.311921367333122,1.710207226086349
AFR,WCARO,Lower middle income,Member State,Developing,AMC,Côte d'Ivoire,CIV,2021-11,27478249,AstraZeneca - Vaxzevria,,547731,1468763,921032,,5.345184112714023,1.99332570281316
AFR,WCARO,Lower middle income,Member State,Least developed,AMC,Benin,BEN,2022-03,13352864,Unknown Vaccine,,,47716,47716,,0.357346558760727,
AFR,WCARO,Lower middle income,Member State,Least developed,AMC,Benin,BEN,2022-03,13352864,AstraZeneca - Vaxzevria,,30379,93694,63315,,0.701677183261958,0.227509244458717
AFR,WCARO,Lower middle income,Member State,Least developed,AMC,Benin,BEN,2022-03,13352864,Moderna - Spikevax,,81481,162715,81234,,1.218577527637517,0.61021365903225
AFR,WCARO,Lower middle income,Member State,Least developed,AMC,Benin,BEN,2022-03,13352864,Pfizer BioNTech - Comirnaty,,139855,380216,240361,,2.84744905662186,1.047378300265771
AFR,WCARO,Lower middle income,Member State,Least developed,AMC,Benin,BEN,2022-03,13352864,Sinovac - CoronaVac,,176232,288232,112000,,2.158578114777474,1.319806747076882
AFR,WCARO,Lower middle income,Member State,Least developed,AMC,Benin,BEN,2022-03,13352864,Janssen - Ad26.COV 2-S,,2092615,2092615,0,,15.671656657328343,15.671656657328343
AFR,WCARO,Lower middle income,Member State,Least developed,AMC,Mauritania,MRT,2021-05,4614974,AstraZeneca - Vaxzevria,,9492,155420,145928,,3.367732949308057,0.205678298512624
AFR,WCARO,Lower middle income,Member State,Least developed,AMC,Senegal,SEN,2021-06,16876720,Beijing CNBG - BBIBP-CorV,,96823,172851,76028,,1.024197829910077,0.573707450262847
AFR,WCARO,Lower middle income,Member State,Least developed,AMC,Senegal,SEN,2021-06,16876720,AstraZeneca - Vaxzevria,,111004,384160,273156,,2.276271692603776,0.65773444128954
