immunity_type,protection_against,month,rho,LB,UB
previous_infection,severe_disease,1,,,
previous_infection,severe_disease,2,0.832,0.721,0.905
previous_infection,severe_disease,3,0.825,0.718,0.897
previous_infection,severe_disease,4,0.817,0.714,0.889
previous_infection,severe_disease,6,0.801,0.703,0.872
previous_infection,severe_disease,9,0.775,0.675,0.851
previous_infection,severe_disease,12,0.746,0.631,0.835
previous_infection,severe_disease,15,0.716,0.571,0.826
previous_infection,any_infection,1,,,
previous_infection,any_infection,2,0.695,0.576,0.792
previous_infection,any_infection,3,0.652,0.529,0.759
previous_infection,any_infection,4,0.607,0.48,0.721
previous_infection,any_infection,6,0.512,0.386,0.637
previous_infection,any_infection,9,0.37,0.26,0.496
previous_infection,any_infection,12,0.247,0.164,0.355
previous_infection,any_infection,15,0.155,0.099,0.236
hybrid_primary_series,severe_disease,1,0.957,0.88,0.985
hybrid_primary_series,severe_disease,2,0.959,0.885,0.986
hybrid_primary_series,severe_disease,3,0.96,0.89,0.986
hybrid_primary_series,severe_disease,4,0.962,0.894,0.987
hybrid_primary_series,severe_disease,6,0.965,0.902,0.988
hybrid_primary_series,severe_disease,9,0.97,0.909,0.99
hybrid_primary_series,severe_disease,12,0.974,0.914,0.992
hybrid_primary_series,severe_disease,15,,,
hybrid_primary_series,any_infection,1,0.741,0.648,0.816
hybrid_primary_series,any_infection,2,0.716,0.619,0.796
hybrid_primary_series,any_infection,3,0.69,0.589,0.775
hybrid_primary_series,any_infection,4,0.662,0.558,0.753
hybrid_primary_series,any_infection,6,0.604,0.496,0.703
hybrid_primary_series,any_infection,9,0.511,0.402,0.619
hybrid_primary_series,any_infection,12,0.418,0.315,0.528
hybrid_primary_series,any_infection,15,,,
hybrid_booster_series,severe_disease,1,0.98,0.929,0.995
hybrid_booster_series,severe_disease,2,0.976,0.916,0.994
hybrid_booster_series,severe_disease,3,0.972,0.9,0.993
hybrid_booster_series,severe_disease,4,0.967,0.879,0.991
hybrid_booster_series,severe_disease,6,0.953,0.819,0.989
hybrid_booster_series,severe_disease,9,,,
hybrid_booster_series,severe_disease,12,,,
hybrid_booster_series,severe_disease,15,,,
hybrid_booster_series,any_infection,1,0.801,0.725,0.725
hybrid_booster_series,any_infection,2,0.748,0.66,0.66
hybrid_booster_series,any_infection,3,0.686,0.588,0.588
hybrid_booster_series,any_infection,4,0.616,0.512,0.512
hybrid_booster_series,any_infection,6,0.465,0.36,0.36
hybrid_booster_series,any_infection,9,,,
hybrid_booster_series,any_infection,12,,,
hybrid_booster_series,any_infection,15,,,
