year,setting,age_group,seroprev
2022,PNG,0 to 4,6.616729053
2022,PNG,5 to 19,12.19460758
2022,PNG,20 to 29,41.01199233
2022,PNG,30 to 39,50.75542652
2022,PNG,40 to 49,51.86483335
2022,PNG,50 to 59,51.70621928
2022,PNG,60+,30.47958097
2022,SLE,0 to 4,7.5805125
2022,SLE,5 to 19,10.14701186
2022,SLE,20 to 29,5.35095
2022,SLE,30 to 39,5.35095
2022,SLE,40 to 49,19.62015
2022,SLE,50 to 59,19.62015
2022,SLE,60+,16.05285
2021,PNG,0 to 4,2.179423272
2021,PNG,5 to 19,4.016669163
2021,PNG,20 to 29,13.50856137
2021,PNG,30 to 39,16.71786117
2021,PNG,40 to 49,17.08327844
2021,PNG,50 to 59,17.03103402
2021,PNG,60+,10.03938767
2021,SLE,0 to 4,1.9975
2021,SLE,5 to 19,2.673784417
2021,SLE,20 to 29,1.41
2021,SLE,30 to 39,1.41
2021,SLE,40 to 49,5.17
2021,SLE,50 to 59,5.17
2021,SLE,60+,4.23
