USD    US.Dollar,,,0.2890,0.2840,0.2790
,,,,,
AUD  Australian Dollar* ,,0.6962,0.4152,0.4080,0.4007
CAD  Canadian Dollar,,1.2825,0.3706,0.3642,0.3578
CHF  Swiss Francs,,0.9648,0.2789,0.2741,0.2692
CNY   Chinese Yuan,,6.7549,1.9522,1.9184,1.8846
DKK  Danish Krone,,7.2855,2.1056,2.0691,2.0325
EUR  Euro *,,1.0219,0.2828,0.2779,0.2730
FJD  Fijian Dollar*,,0.4538,0.6447,0.6261,0.6074
GBP  Pound Sterling* ,,1.2057,0.2397,0.2356,0.2314
HKD  Hong Kong Dollar,,7.8488,2.2683,2.2291,2.1898
IDR   Indonesian Rupiah,,14989.50,4332.69,4257.03,4181.37
JPY  Japanese Yen,,136.68,39.50,38.82,38.13
KRW  Korean Won,,1308.15,378.10,371.51,364.93
KWD   Kuwaiti Dinar,,0.3072,0.0888,0.0872,0.0856
MYR  Malaysian Ringgit,,4.4568,1.2885,1.2657,1.2429
NOK  Norwegian Kroner,,9.8131,2.8369,2.7870,2.7370
NZD  New Zealand Dollar*,,0.6263,0.4615,0.4535,0.4455
PHP  Philippine Peso,,55.698,16.10,15.82,15.54
RUB  Russian Rouble,,58.50,17.1774,16.6187,16.0599
SBD  Solomon Islands Dollar*,,0.1227,2.3727,2.3159,2.2591
SEK   Swedish Kroner,,4.0000,2.9488,2.8970,2.8452
SGD  Singapore Dollar,,1.3856,0.4005,0.3936,0.3866
TWD Taiwan Dollar,,29.9325,8.6527,8.5009,8.3491
ZAR  South African Rand,,16.7490,4.8421,4.7568,4.6714
BDT Bangladesh Taka,,94.6495,27.3767,26.8809,26.3850
INR Indian Rupee,,79.7926,23.0614,22.6611,22.2608
WST Samoan Tala,,0.3724,0.7723,0.7627,0.7530
LKR Sri Lankan Rupee,,362.8950,106.505,103.090,99.676
XPF New Caledonia Franc,,118.4901,34.2948,33.6521,33.0093
THB Thai Baht,,36.6305,10.5884,10.4031,10.2178
TOP Tongan Pa?anga,,0.4270,0.6598,0.6653,0.6707
VUV Vanuatu Vatu,,116.6750,34.0818,33.1420,32.2022
SDR  Special Draw Right,,1.3199,0.2152,,
