setting,currency,patient_type,patient_type_long,care_setting,model_prediction,mean_value_from_sample,UB,LB,SD
IDN,2010 internal dollars (PPP $),inpatient,Cost per inpatient bed day by hospital level (without drugs),Primary hospital ,44.8,46.61,102.61,19.03,21.68
IDN,2010 internal dollars (PPP $),inpatient,Cost per inpatient bed day by hospital level (without drugs),Secondary hospital ,46.37,48.61,102.41,19.83,20.87
IDN,2010 internal dollars (PPP $),inpatient,Cost per inpatient bed day by hospital level (without drugs),Tertiary hospital,59.97,62.97,139.86,23.33,28.97
IDN,2010 internal dollars (PPP $),outpatient,Cost per outpatient visit,Health centre (no beds),6.72,6.85,21.12,1.31,5.49
IDN,2010 internal dollars (PPP $),outpatient,Cost per outpatient visit,Health centre (with beds),8.3,8.27,25.73,1.66,6.25
IDN,2010 internal dollars (PPP $),outpatient,Cost per outpatient visit,Primary hospital ,9.46,6.85,29.2,1.9,7.05
IDN,2010 internal dollars (PPP $),outpatient,Cost per outpatient visit,Secondary hospital ,9.86,9.57,28.69,1.99,7.44
IDN,2010 internal dollars (PPP $),outpatient,Cost per outpatient visit,Tertiary hospital,9.86,9.52,27.86,1.92,6.77
IDN,2010 National Currency Unit (NCU),inpatient,Cost per inpatient bed day by hospital level (without drugs),Primary hospital ,151351.8,,,,
IDN,2010 National Currency Unit (NCU),inpatient,Cost per inpatient bed day by hospital level (without drugs),Secondary hospital ,157782.89,,,,
IDN,2010 National Currency Unit (NCU),inpatient,Cost per inpatient bed day by hospital level (without drugs),Tertiary hospital,204059.52,,,,
IDN,2010 National Currency Unit (NCU),outpatient,Cost per outpatient visit,Health centre (no beds),22866.1,,,,
IDN,2010 National Currency Unit (NCU),outpatient,Cost per outpatient visit,Health centre (with beds),28242.4,,,,
IDN,2010 National Currency Unit (NCU),outpatient,Cost per outpatient visit,Primary hospital ,32189.5,,,,
IDN,2010 National Currency Unit (NCU),outpatient,Cost per outpatient visit,Secondary hospital ,33550.6,,,,
IDN,2010 National Currency Unit (NCU),outpatient,Cost per outpatient visit,Tertiary hospital,33550.6,,,,
IDN,2010 USD,inpatient,Cost per inpatient bed day by hospital level (without drugs),Primary hospital ,16.65,,,,
IDN,2010 USD,inpatient,Cost per inpatient bed day by hospital level (without drugs),Secondary hospital ,17.36,,,,
IDN,2010 USD,inpatient,Cost per inpatient bed day by hospital level (without drugs),Tertiary hospital,22.45,,,,
IDN,2010 USD,outpatient,Cost per outpatient visit,Health centre (no beds),2.52,,,,
IDN,2010 USD,outpatient,Cost per outpatient visit,Health centre (with beds),3.11,,,,
IDN,2010 USD,outpatient,Cost per outpatient visit,Primary hospital ,3.54,,,,
IDN,2010 USD,outpatient,Cost per outpatient visit,Secondary hospital ,3.69,,,,
IDN,2010 USD,outpatient,Cost per outpatient visit,Tertiary hospital,3.69,,,,
TLS,2010 internal dollars (PPP $),inpatient,Cost per inpatient bed day by hospital level (without drugs),Primary hospital ,12.92,13.74,28.79,5.02,6.21
TLS,2010 internal dollars (PPP $),inpatient,Cost per inpatient bed day by hospital level (without drugs),Secondary hospital ,13.47,13.79,30.4,5.21,6.44
TLS,2010 internal dollars (PPP $),inpatient,Cost per inpatient bed day by hospital level (without drugs),Tertiary hospital,17.42,18.24,39.21,6.81,8.49
TLS,2010 internal dollars (PPP $),outpatient,Cost per outpatient visit,Health centre (no beds),2.74,2.68,8.04,0.56,1.95
TLS,2010 internal dollars (PPP $),outpatient,Cost per outpatient visit,Health centre (with beds),3.38,3.46,10.9,0.69,2.83
TLS,2010 internal dollars (PPP $),outpatient,Cost per outpatient visit,Primary hospital ,21.51,15.64,63.73,4.52,16.39
TLS,2010 internal dollars (PPP $),outpatient,Cost per outpatient visit,Secondary hospital ,4.02,4.13,12.41,0.81,3.25
TLS,2010 internal dollars (PPP $),outpatient,Cost per outpatient visit,Tertiary hospital,4.02,3.98,12.32,0.77,3.21
