"","discounting_rate","age_group","outcome","FJI","IDN","PNG","TLS"
"1",0,"0 to 4","death",431871.695061918,407464.151133896,338523.806369069,148257.569911616
"2",0,"5 to 9","death",433723.992279961,409942.560264931,343417.074541806,150335.419251457
"3",0,"10 to 17","death",425776.676110107,402746.465132874,337212.922525217,148528.512969715
"4",0,"18 to 29","death",374334.588402748,357599.159596916,298773.36796452,136235.74605262
"5",0,"30 to 44","death",261470.74693265,258993.861451267,217191.121208638,106168.54423001
"6",0,"45 to 59","death",131769.326328487,146739.281210673,118969.10107242,65250.6636837871
"7",0,"60 to 69","death",55357.3387269281,69964.0328739203,50979.7686693806,35615.5865962462
"8",0,"70 to 100","death",26607.7104101612,32374.3389668403,22226.5365176732,18366.3905049204
"9",0.03,"0 to 4","death",59708.0131920279,54288.7348561221,46606.1234673147,17687.1120651596
"10",0.03,"5 to 9","death",80261.8872600153,73160.3433986958,62811.2356424457,23828.5601492169
"11",0.03,"10 to 17","death",108588.16049083,98428.4980293713,84299.6815717004,32610.6397019494
"12",0.03,"18 to 29","death",130667.416097547,118403.417597057,100397.999330784,40680.0540488437
"13",0.03,"30 to 44","death",120707.142302798,113304.537501976,95762.052326675,42246.4314837913
"14",0.03,"45 to 59","death",78037.4322623428,83251.7043294551,68442.9427988591,34420.2808900477
"15",0.03,"60 to 69","death",38245.8064071657,48087.1079601118,35359.8195501497,23449.0977331899
"16",0.03,"70 to 100","death",20621.1027587544,25434.8048138439,17202.8260265215,14084.7431703138
"17",0.05,"0 to 4","death",8368.86386555737,7653.75616734149,6694.32305126213,2322.66324266329
"18",0.05,"5 to 9","death",17426.2872506062,16027.375845585,13981.2027207877,4847.76147356714
"19",0.05,"10 to 17","death",34238.6433607075,30934.2337769728,26834.5662092888,9654.20841283907
"20",0.05,"18 to 29","death",52717.5273807572,46836.2007029854,39979.8214328609,15180.9617432991
"21",0.05,"30 to 44","death",57568.2222940383,52017.7168903162,44142.2575109502,18438.6748846426
"22",0.05,"45 to 59","death",43851.7288873729,44825.7917641563,37383.2406838785,17445.8137357281
"23",0.05,"60 to 69","death",24164.6789549621,30177.1407514105,22517.4011536869,14079.279795091
"24",0.05,"70 to 100","death",14660.9460616469,18392.4318982875,12210.8593767178,9899.424731029
"25",0,"0 to 4","critical_disease",60194.9950537808,54293.3857166018,49853.7268127861,22425.0713041086
"26",0,"5 to 9","critical_disease",60453.1713203738,54623.6263587303,50574.3486719157,22739.3616275837
"27",0,"10 to 17","critical_disease",59648.7267701204,53939.4709957586,49934.9696959655,22557.2173292083
"28",0,"18 to 29","critical_disease",53309.4544362477,48625.7304884176,44935.8444137393,20941.8384866945
"29",0,"30 to 44","critical_disease",111068.914984525,106163.528406575,99526.6285359012,51747.5999057497
"30",0,"45 to 59","critical_disease",92085.8883811023,97898.6324805625,90321.6841932165,53116.6916003996
"31",0,"60 to 69","critical_disease",41393.1863184816,50273.1829327698,41970.4157163269,31073.4843462267
"32",0,"70 to 100","critical_disease",20681.4598161511,24547.9827727707,18902.1030266144,16821.3655548197
"33",0,"0 to 4","severe_disease",9302.86287881315,8390.79598057604,7704.66687675274,3465.69284046526
"34",0,"5 to 9","severe_disease",9342.76284731605,8441.83317076084,7816.0357096095,3514.2649814018
"35",0,"10 to 17","severe_disease",9232.91836982441,8349.21517535178,7730.31818568101,3490.46783236722
"36",0,"18 to 29","severe_disease",8292.87796934522,7561.51640355525,6989.32191845459,3252.46737399545
"37",0,"30 to 44","severe_disease",17382.5409636806,16590.7668669889,15555.4005424958,8073.07984264809
"38",0,"45 to 59","severe_disease",14564.9555675273,15423.7266313179,14274.4663890968,8364.7900215227
"39",0,"60 to 69","severe_disease",6611.37087324634,8013.02089894516,6731.43052848443,4956.20509350349
"40",0,"70 to 100","severe_disease",3342.17980810195,3974.03207433283,3064.56345774026,2731.9261310939
"41",0,"0 to 4","mild",1748.73131885728,1613.79604357366,1435.99966385162,650.161543438474
"42",0,"5 to 9","mild",1756.23162553184,1623.61199140341,1456.75664258984,659.273642973286
"43",0,"10 to 17","mild",1748.29795272966,1617.58258232369,1452.18284647012,658.62373475604
"44",0,"18 to 29","mild",1606.42367881812,1496.19839655749,1341.58594912343,624.18407979078
"45",0,"30 to 44","mild",2342.51735234861,2263.11000137956,2018.30469446001,1011.47319046832
"46",0,"45 to 59","mild",1497.0063207047,1587.09716973889,1402.41456589668,784.48458315539
"47",0,"60 to 69","mild",756.540366201678,930.191802752073,750.095382927412,524.441920595637
"48",0,"70 to 100","mild",398.392125938505,487.77813493498,353.585964188815,305.587768637589
"49",0.03,"0 to 4","critical_disease",20582.2634761161,18102.0341495316,16956.8758971141,7022.09816270748
"50",0.03,"5 to 9","critical_disease",23884.7224779464,21045.877228087,19770.5904998005,8184.68323261518
"51",0.03,"10 to 17","critical_disease",27995.073845141,24627.5933386373,23118.2590120187,9668.31209211
"52",0.03,"18 to 29","critical_disease",30189.0353182965,26677.1746142409,24885.4542627889,10792.443582304
"53",0.03,"30 to 44","critical_disease",74467.9601153162,69013.4834406912,64991.4080512044,31803.0542263886
"54",0.03,"45 to 59","critical_disease",71316.8535358909,74019.5679157277,68765.4583335237,38500.9770842675
"55",0.03,"60 to 69","critical_disease",34878.93914915,42241.8114618765,35432.2367591069,25478.3051308924
"56",0.03,"70 to 100","critical_disease",18489.7928438888,22109.6873901933,16880.3455159425,14945.4806553696
"57",0.03,"0 to 4","severe_disease",3180.89526683807,2797.58709790123,2620.60809512428,1085.2333532193
"58",0.03,"5 to 9","severe_disease",3691.2752947703,3252.54466492281,3055.45489767854,1264.90559142853
"59",0.03,"10 to 17","severe_disease",4340.99018689933,3819.1977159082,3585.91744055806,1498.54611243661
"60",0.03,"18 to 29","severe_disease",4719.72228484315,4169.46685686108,3890.62525647552,1683.92452397756
"61",0.03,"30 to 44","severe_disease",11726.0297524467,10849.3962771154,10218.1391909221,4990.74096265399
"62",0.03,"45 to 59","severe_disease",11355.195634535,11733.3257413018,10943.0496628676,6105.99777645355
"63",0.03,"60 to 69","severe_disease",5604.62358269759,6771.80894343658,5720.98468889565,4091.49557776825
"64",0.03,"70 to 100","severe_disease",3003.46763941146,3597.20460583825,2752.11002404219,2442.0166464195
"65",0.03,"0 to 4","mild",597.937564767618,538.058010300448,488.430246743045,203.589015068411
"66",0.03,"5 to 9","mild",693.87765880007,625.559687537381,569.477211171707,237.295400799779
"67",0.03,"10 to 17","mild",828.724254340048,746.327427235556,679.747363916041,284.940618722928
"68",0.03,"18 to 29","mild",934.749879683412,843.807830664469,764.049316305957,329.92654247824
"69",0.03,"30 to 44","mild",1622.30025047009,1518.45526336185,1360.1906734771,641.499769579988
"70",0.03,"45 to 59","mild",1196.96566631331,1237.22309202125,1101.90915919336,586.57148726152
"71",0.03,"60 to 69","mild",655.155001746351,802.883229943481,651.517200351471,442.295088504233
"72",0.03,"70 to 100","mild",364.281821405754,449.127711857591,323.103289683368,278.046559334481
"73",0.05,"0 to 4","critical_disease",11256.0702763526,9811.03096381579,9272.94727388108,3683.54531156029
"74",0.05,"5 to 9","critical_disease",14362.5853900464,12546.719122791,11868.3575653831,4712.9474442646
"75",0.05,"10 to 17","critical_disease",18732.5871558185,16306.2385408372,15407.5808385444,6204.19314858856
"76",0.05,"18 to 29","critical_disease",22352.4444185596,19471.1684881459,18239.3887847304,7642.695109206
"77",0.05,"30 to 44","critical_disease",59829.774971132,54549.1524756777,51482.5949725199,24469.1164451519
"78",0.05,"45 to 59","critical_disease",61555.6212568646,63006.0852063708,58769.1299952852,32020.4576789152
"79",0.05,"60 to 69","critical_disease",31455.3594351317,38028.4517483689,32000.5536500943,22611.8521345613
"80",0.05,"70 to 100","critical_disease",17250.0680463713,20720.9660396224,15737.5099778903,13891.7650940481
"81",0.05,"0 to 4","severe_disease",1739.57449853825,1516.25024098138,1433.09185247556,569.275184933969
"82",0.05,"5 to 9","severe_disease",2219.67228919067,1939.03841131683,1834.2007160037,728.36460556022
"83",0.05,"10 to 17","severe_disease",2909.51497022038,2533.17015529914,2394.26717650536,963.182275315487
"84",0.05,"18 to 29","severe_disease",3508.61278126278,3055.81136382456,2863.50604547214,1197.14521413955
"85",0.05,"30 to 44","severe_disease",9463.76477394878,8613.9996717819,8130.41353176654,3857.31421380824
"86",0.05,"45 to 59","severe_disease",9846.64155393585,10031.2420485997,9398.16255490882,5104.46295852365
"87",0.05,"60 to 69","severe_disease",5075.52489923159,6120.65335086852,5190.63366256596,3648.49829619016
"88",0.05,"70 to 100","severe_disease",2811.87380692646,3382.58403331891,2575.48998621288,2279.16969591327
"89",0.05,"0 to 4","mild",327.001316337513,291.619370275213,267.100375829713,106.795624977603
"90",0.05,"5 to 9","mild",417.249023260091,372.933929482294,341.859246317969,136.640688582608
"91",0.05,"10 to 17","mild",559.638750642518,498.986627382726,457.646992026946,184.506738784196
"92",0.05,"18 to 29","mild",707.088228956503,629.619232499669,572.614324328988,238.607085744241
"93",0.05,"30 to 44","mild",1334.25663742832,1228.5247237018,1102.7624836713,505.454452071744
"94",0.05,"45 to 59","mild",1055.94965172751,1075.85445486492,962.554954409338,498.818017727211
"95",0.05,"60 to 69","mild",601.871657098068,736.095532001751,599.776633707994,400.210639744811
"96",0.05,"70 to 100","mild",344.987197306695,427.114518493204,305.872398473213,262.576206740456
