scenario,death,hosp,severe_disease,YLL,cases,date_complete_at_risk_group,label
booster at three months (at risk only),655.6637602091382,10717.799101222336,5532.044279752008,5326.434537230489,570003.0399999991,2023-06-08,abs
booster at six months (at risk only),678.6323152252085,10964.98892646801,5702.574568650329,5510.396515553344,629024.3399999999,2023-06-02,abs
booster at three months (all),668.4176176803917,12240.558943843644,5915.455868740944,5585.51952062497,775333.9700000025,2023-06-08,abs
booster at six months (all),684.4360866280153,11526.776830962073,5836.945656508789,5616.447170719672,1129525.1000000015,2023-06-02,abs
decreased vaccine hesistance to 7%,745.1458423691697,12069.551988429856,6268.428639433601,6067.552924865908,580812.5600000024,2023-06-19,abs
decreased vaccine hesistance to 2%,829.5875961487604,13326.681309935404,6960.010554242843,6764.986201746171,590628.1500000022,2023-06-30,abs
make 100% priority,1016.7627495917491,16219.851027397031,8625.756083797154,8360.190582644536,524510.9400000013,2023-01-14,abs
make 75% priority,941.7579573062872,15198.078823591088,7989.63983137003,7734.760196806645,530420.9000000022,2023-01-30,abs
booster at three months (at risk only),21.862180740345593,5.414678294646949,13.845607509090172,13.290557645859977,1.8097797506583249,2023-06-08,rel
booster at six months (at risk only),22.628034721577876,5.539559659633785,14.272410934568855,13.749580893110402,1.997174459285724,2023-06-02,rel
booster at three months (all),22.28744007919362,6.183983129523099,14.805210525104965,13.93702835396924,2.461712693503417,2023-06-08,rel
booster at six months (all),22.821553270389145,5.823377330027725,14.60871506537041,14.014199248225333,3.5862820202508487,2023-06-02,rel
decreased vaccine hesistance to 7%,24.8458342101989,6.097589678687928,15.688631227700228,15.139801560232167,1.8441003578086694,2023-06-19,rel
decreased vaccine hesistance to 2%,27.661425059039356,6.7326968295528875,17.419523329898485,16.88004207304203,1.875265202162419,2023-06-30,rel
make 100% priority,33.902515817764964,8.19433863902501,21.588553374839563,20.860407481284103,1.6653407290788615,2023-01-14,rel
make 75% priority,31.401587102696425,7.678134918301169,19.996480803494542,19.29982909843722,1.6841050604676948,2023-01-30,rel
