scenario,death,hosp,severe_disease,YLL,cases,date_complete_at_risk_group,label
booster at three months (at risk only),-21.186963109510543,535.6163994898088,-111.79623360131518,-158.35506585451367,306062.16000000015,2022-12-28,abs
booster at six months (at risk only),-21.065284912872357,193.87967354620923,-162.06095112735056,-178.4350985214769,338965.91000000015,2023-03-29,abs
booster at three months (all),59.43522052972594,4177.36235067033,977.7128170945216,727.2885772958834,799305.8900000006,2022-12-28,abs
booster at six months (all),8.547879980385005,2093.7440970018215,272.4176034596967,167.69763162823074,1210936.5,2023-03-29,abs
decreased vaccine hesistance to 7%,-22.18651998224641,780.9641188165697,-86.27883790594205,-152.45933563377912,333118.20999999717,2022-12-31,abs
decreased vaccine hesistance to 2%,-23.03277924234135,1032.2588955778629,-58.711644355724275,-144.83980639049696,360339.41000000015,2023-01-03,abs
make 100% priority,-22.732391888340317,725.4799052199523,-102.26247678841901,-165.46528255392332,312217.75,2022-12-12,abs
make 75% priority,-23.083926577066904,618.0685173456732,-118.87682112575567,-173.67778282704967,310360.5700000003,2022-12-18,abs
booster at three months (at risk only),-0.6912139059452346,0.26981949523595444,-0.2766998869408673,-0.3902512202608994,0.9719633389600936,2022-12-28,rel
booster at six months (at risk only),-0.6872442166069405,0.0976678751856349,-0.4011069551267941,-0.43973657905807595,1.076455964622502,2023-03-29,rel
booster at three months (all),1.9390438696061587,2.1043676070209543,2.4198760301304856,1.7923345441458258,2.5383602523581144,2022-12-28,rel
booster at six months (all),0.2788702410182036,1.054734276143163,0.6742438242312426,0.41327509811341134,3.8455779172722586,2023-03-29,rel
decreased vaccine hesistance to 7%,-0.723823941024213,0.39341466119632534,-0.21354337194489112,-0.37572174562391775,1.0578853905363759,2022-12-31,rel
decreased vaccine hesistance to 2%,-0.75143271938424006,0.5200056876954199,-0.14531353008971318,-0.3569441298339919,1.1443319099051974,2023-01-03,rel
make 100% priority,-0.7416327345925356,0.3654642053841746,-0.2531034799129023,-0.4077736830144012,0.9915116810670342,2022-12-12,rel
make 75% priority,-0.7531013751907191,0.31135517047329947,-0.29422460762577374,-0.42801262033974713,0.9856138239982296,2022-12-18,rel
